比利時	比利時王國	比利時	比利時王國	比利时	比利时王国	比利時	比利時王國	比利时	比利时王国	比利时	比利时王国	比利時	比利時王國	比利时	比利时王国	比利時	比利时王国ᚋ比利時王國ᚋ比利时	Belgium	country in western Europe	Q3624078,Q43702,Q6256,Q20181813,Q185441,Q1250464,Q113489728	Q31	Q31	
快樂	歡樂ᚋ幸福	快樂	歡樂ᚋ幸福	快乐	欢乐ᚋ幸福	快樂	歡樂ᚋ幸福	快乐	欢乐ᚋ幸福	快乐	欢乐ᚋ幸福	快樂	歡樂ᚋ幸福	快乐	欢乐ᚋ幸福	快樂	歡樂ᚋ幸福	happiness	mental or emotional state of well-being characterized by pleasant emotions	Q331769,Q60539479	Q8		
佐治·華盛頓	華盛頓ᚋ喬治·華盛頓	佐治·華盛頓	華盛頓ᚋ喬治·華盛頓	乔治·华盛顿	华盛顿	佐治·華盛頓	華盛頓ᚋ喬治·華盛頓	乔治·华盛顿	华盛顿	乔治·华盛顿	华盛顿	喬治·華盛頓	華盛頓ᚋ佐治·華盛頓	乔治·华盛顿	华盛顿	乔治·华盛顿	华盛顿ᚋ喬治·華盛頓ᚋ華盛頓ᚋ兀兴腾ᚋ瓦乘敦ᚋ兀興騰	George Washington	president of the United States from 1789 to 1797	Q5	Q23		
傑克·鮑爾	包智傑	包智傑		杰克·鲍尔		包智傑		杰克·鲍尔		杰克·鲍尔		傑克·鮑爾		杰克·鲍尔		傑克·鮑爾		Jack Bauer	character from the television series 24	Q15632617,Q15773317,Q20085850	Q24		
道格拉斯·亞當斯		道格拉斯·亞當斯		道格拉斯·亚当斯		道格拉斯·亞當斯		道格拉斯·亚当斯		道格拉斯·亚当斯		道格拉斯·亞當斯	道格拉斯·諾耶爾·亞當斯	道格拉斯·亚当斯		道格拉斯·亞當斯	亞當斯	Douglas Adams	English author and humourist (1952–2001)	Q5	Q42		
																保羅·奧特勒	保罗·奥特莱	Paul Otlet	Belgian author, librarian and anti-colonial thinker	Q5	Q1868		
維基數據	維基資料	維基數據		维基数据		維基數據		维基数据		维基数据		維基數據	維基資料	维基数据		维基数据	Wikidataᚋ維基資料	Wikidata	free knowledge graph hosted by Wikimedia and edited by volunteers	Q33120876,Q638153,Q36509592,Q15633582,Q593744,Q7094076,Q33002955,Q114955954,Q115471117,Q1293664	Q2013		
葡萄牙	葡萄牙共和國ᚋ葡國ᚋ葡萄牙民國	葡萄牙	葡萄牙共和國ᚋ葡國	葡萄牙	葡萄牙共和国ᚋ葡国	葡萄牙	葡萄牙共和國ᚋ葡國ᚋ葡萄牙民國	葡萄牙	葡萄牙共和国ᚋ葡国	葡萄牙	葡萄牙共和国ᚋ葡国	葡萄牙	葡萄牙共和國ᚋ葡國	葡萄牙	葡萄牙共和国ᚋ葡国	葡萄牙	葡萄牙共和国ᚋ葡国ᚋ葡國	Portugal	country in Southwestern Europe	Q3624078,Q6256,Q20181813,Q113489728	Q45	Q45	
南極洲		南極洲		南极洲		南极洲		南极洲		南极洲		南極洲		南极洲		南極洲		Antarctica	polar continent in the Southern Hemisphere	Q5107,Q82794,Q312461	Q51		Q21590062
陰莖	雞巴ᚋ陽具ᚋ小雞雞ᚋ雞雞ᚋㄐㄐ	陰莖	雞巴ᚋ陽具ᚋ小雞雞ᚋ雞雞	阴茎	鸡巴ᚋ阳具ᚋ小鸡鸡ᚋ鸡鸡	陰莖	雞巴ᚋ陽具ᚋ小雞雞ᚋ雞雞	阴茎	鸡巴ᚋ阳具ᚋ小鸡鸡ᚋ鸡鸡	阴茎	鸡巴ᚋ阳具ᚋ小鸡鸡ᚋ鸡鸡	陰莖	雞巴ᚋ陽具ᚋ小雞雞ᚋ雞雞ᚋㄐㄐ	阴茎	鸡巴ᚋ阳具ᚋ小鸡鸡ᚋ鸡鸡	陰莖	雞巴ᚋ陽具ᚋ小雞雞ᚋ雞雞ᚋ屌ᚋ肉棒ᚋㄐㄐ	penis	primary sexual organ of male animals	Q712378	Q58		
電腦	計算機系統	電腦	電子計算機	电脑	计算机	電腦	電子計算機	电子计算机	计算机ᚋ电脑ᚋ计算机系统	电脑	计算机	電腦	電子計算機	电子计算机	计算机ᚋ电脑ᚋ计算机系统	电子计算机	电脑ᚋ计算机系统ᚋ電子計算機	computer	general-purpose device for performing arithmetic or logical operations	Q14208553	Q68		
網際網路	英特網ᚋ因特網ᚋ互聯網	互聯網	英特網ᚋ因特網ᚋ網際網路	互联网	英特网ᚋ因特网ᚋ网际网路	互聯網	英特網ᚋ因特網ᚋ網際網路	互联网	英特网ᚋ因特网ᚋ网际网络	互联网	英特网ᚋ因特网ᚋ网际网路	網際網路	英特網ᚋ因特網ᚋ互聯網	互联网	英特网ᚋ因特网ᚋ网际网络	互聯網	英特網ᚋ因特網ᚋ網際網路ᚋ互联网ᚋ因特网ᚋ英特网ᚋ网际网络	Internet	global system of connected computer networks based on IP addressing and routing protocols	Q11224256,Q1301371,Q14208553	Q75		
火山矽肺病	超微粒矽酸鹽塵埃沉著症	火山矽肺病		火山矽肺病		火山矽肺病		火山矽肺病		火山矽肺病		火山矽肺病	超微粒矽酸鹽塵埃沉著症	火山矽肺病		火山硅肺病	超微粒硅酸盐尘埃沉着症	pneumonoultramicroscopicsilicovolcanoconiosis	artificial word for a lung disease; longest English word published in a dictionary	Q101991	Q102		
超級酷斃宇宙世界霹靂無敵棒		超級酷斃宇宙世界霹靂無敵棒										超級酷斃宇宙世界霹靂無敵棒				超級酷斃宇宙世界霹靂無敵棒	超级酷毙宇宙世界霹雳无敌棒	Supercalifragilisticexpialidocious	song from the film and musical Mary Poppins	Q105543609	Q103		
